index,text,Sentiment,Political,Ideology,Immigration,Macroeconomic,National_Security,Crime,Civil_Rights,Environment,Education,Health_Care,Governance,No_Policy_Content,Asks_for_Donation,Asks_you_to_watch_something_share_something_follow_something,Misc,Makes_a_Factual_or_Verifiable_Claim,Expresses_an_Opinion
15,this account will be run by campaign staff from now onbut youll still see tweets from hillary theyll be signed h ,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,looking forward to joining jaketapper and theleadcnn today at 4 30pm et tune to hear about our plan to help hardworking families,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
17,photo gallery the first 100 days of the bernie sanders presidential campaign,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,rt kevinbingle breaking the bostonglobe globeopinion endorses gov johnkasich for president kasich4us,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,at the citadel for my speech on foreign policy and the threat presented by radical islamic terrorism sw,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20,there are some things in washington we need to burn down read more here gt ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
21,rt jaketapper on thelead house gop chaos law enforcement warns of terrorism govchristie interview trump in vegas clinton feeling t,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,rt foxnews randpaul we think we re going to do very well in iowa with the liberty vote gopdebate,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,little marco rubio treated america s ice officers like absolute trash in order to pass obama s amnesty ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,rt mvbarnhill two local high school seniors ready to start working for martinomalley newleadership momentum,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,rt outfrontcnn governorpataki to fellow gop candidates stand up to trump cnn s joejohnscnn has more ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26, votersfirst has begun tune into the unionleader forum on cspan,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
27,rt hillaryforsc we need to raise wages for the lowest paid jobs in americawhich are disproportionately held by women especially women,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28,how does it happen that every major country on earth guarantees health care to all of their people as a right except the united states ,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,donald trump no es el nico que tiene ideas retrogradas acerca de la inmigracin ,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30, votetrump video ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,looking forward to joining foxandfriends in a few minutes tune in,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
32,education is the bedrock of americas success it is the foundation of what truly makes our country the land of opportunity reviveedu,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,ill be talking with seanhannity on foxnews tonight at 10 pm et hope youll tune in,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
34,if youre proud to stand with hillary all the way to the white house chip in 1 to help her get there,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
35,51 of the kids in our public schools are eligible for free or reduced cost lunches we need to raise wages to lift families out of poverty,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,rt time how chris christie s years as a prosecutor prepared him to run for president ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,rt larry kudlow no 10 year boots on the ground to defeat isis destroy isis training camps they re coming for us governorpataki 77wab,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,rt cedarville realbencarson will hold rally here on campus next tues 9 22 ticket info at,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39,i delivered on my promises in wi and on dayone im ready to deliver on my promises to america my promises gt ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,carly fiorina is terrible at business the last thing our country needs ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,race for speaker is not about paul ryan or kevin mccarthy the american people are fed up amp it s time for washington to wake up ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,rt rbecker51 https,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,i was the only one to stand up to trumps chaotic irresponsible foreign policy at the debate see top moments here ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,then why did you contribute thousands of dollars to her ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45,he put up a good fight but my winning streak is intact fitn,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,great recap video from the milford labor day parade salem gop picnic amp bbq with senscottbrown kasich4us,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47,after my speech tomorrow i ll be using periscope to live stream a bit of my facebook q amp a leave your question,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,sad to hear the news about president carter will be praying for him and his family ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49,us state dept has sent n korea a tweet appealing to its sense of international obligation it may work if kim jong un dies of laughter ,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,we re gonna make a political revolution and we re gonna transform america iacaucus,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,if i am elected president we will not be drafting our daughters into combat goptownhall,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
52,rt billmckibben this guy berniesanders appears to have supporters in western ma fun to be feelingthebern in springfield,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,we shouldnt reward those who came to this country illegally ,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,rt ritacosby can t wait to have governorpataki on my 77wabcradio show tomorrow am now that he s officially running for president gpat,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55,for those with a question as to secret service protection neither my team nor i are in the habit of commenting on security ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,change is coming in january of 2017 we will have a new president iafaithforum,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,great video on the debate tonight from supporter britwilson63 send yours in to us using standwithrand,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
58,rt t willy2 first time voting tomorrow i ll be voting for the future potus marcorubio marcomentum,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,realollietaylor paintonmy ia caucus hasn t picked nominee in 16 years cruz dirty tricks stole it trump way ahead in primary states,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,ill be on foxnews tonight with megynkelly for kellyfile at 9pm tune in,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
61,rt healerhauler students4carson at our university of alabama debate watch party are all in for ben rolltideroll,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,rt facethenation randpaul says hillary clinton is partially responsible for refugee crisis,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
63,rt omalleyfornh pete spanos just emailed saying why hes standing with martinomalley sign up at,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
64,rt teammarco sc how s voter turnout looking in your neighborhood tweet your county precinct name of voters amp time of day using tur,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
65,rt fox5ny governorpataki breaks ranks w gop says ky clerk kim davis should ve lost her job,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
66,thank you to former navy seal leifbabin for your service and support ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,politicians shouldn t promise what they can t deliver demdebate chafee2016 com prosperitythroughpeace,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,rt wpjohnwagner the bernie sanders crowd in boston 40 minutes before the event starts,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
69,i am running for president because it is too late for establishment politics and too late for establishment economics we need real change ,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70, realdonaldtrump not about getting along with vladimir putin it s about effective foreign policy ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71, berniesanders i won t cut social security as always i ll defend it amp i ll expand it enough false innuendos ,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,winning ohio changes the whole shape of the race learn how to help here ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
73,rt seiu seiu members want justice for immigrant families who ve spent too long living in fear in the shadows iamericaaction,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,tell congress to defund the obama administration s plan to bring 10 000 syrian refugees into america click here,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
75,here we go at the gopdebate join us online ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
76,thanks to the dpshow for having the governor on this morning learn more about john kasich here ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
77,rt jamespmorrison you need to look the guy in the eye and say listen i dont agree with you i dont appreciate what you said sen,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
78,thank you dayton ohio 20 000 supporters largest in airport history makeamericagreatagain trump2016,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,our service men and women deserve the best resources available amp as president i ll make sure that they receive the treatment they deserve ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
80,rt mariabartiromo happening now happy wednesday join us morningsmaria foxbusiness tedcruz 8am et newtgingrich leldf reppeteking,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
81,the va has a rotten core click here if you agree gt ,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
82,rt iamrobertway sen graham with the owners of subzero fitn nhpolitics bostonglobe,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,boycott macys no guts no glory besides there are far better stores ,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,rt talleysergent our thoughts and sympathies are with those impacted by westvirginia flooding please stay safe ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85,rt foxbusiness chrischristie i m ready to be president senator rubio is not ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
86,new docs show bush cheney ignored 4th amend amp justice dept on wiretapping probably still think they re right,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
87,rt ann oleary hillaryclinton s environmental justice fight will extend to puerto rico powerful tour of flooded canomartinpena https ,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
88,rt resurgent brand new ted cruz ad,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89, id be for the most right viable candidate who could win william f buckley hannity,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
90,rt philippedesra gov gilmore at sunshine summit right now not a bad speech ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
91,what jobs can t christians have anymore ,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92, foxnews rub jorgeramosnews should ve disclosed his daughter works for hillaryclinton amp univision is being sued by realdonaldtrump ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
93,live from manchester nh on greta tune into foxnews now fitn,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
94,we owe it to our vets to provide access to the best education health care amp job training servicesto go above amp beyond for their futures ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,rt hillarysusans build a new nato in the middle east gov gilmore,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
96, conniehegel realdonaldtrump if trump is not on that stage no one will watch so true ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,rt if you agree with hillary on women ,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
98,four boys shot my son dead on christmas eve a moment backstage with a mom who lost her son to gun violence ,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
99,i want children to know that if they study hard no matter what the income of their families they will be able to get a college education ,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100,rt teammarco some of you should have received your day one supporter gear by now send us some pics here s one ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
101,we need a new approach to trade in this country one that benefits working families and not just the ceos of multinational corporations ,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,want to help design our next bumper sticker follow the link to join ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
103,rt cr big haul cruz raises 1 5 million after super saturday,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104,rt drakeuniversity drake law alum terrybranstad introduces chrischristie during student hosted event at drake law school iacaucus htt,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
105,so since the people at the nytimes have made all bad decisions over the last decade why do people care what they write incompetent ,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
106,rt weeklystandard wisconsin poll tedcruz 36 realdonaldtrump 31 johnkasich 21,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
107,i d also ask hillaryclinton why she doesn t believe that shed be accountable for her conduct,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108,i m about to join foxnews live from new hampshire tune in ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
109,if you couldn t make it to the fort worth is cruzcountry rally watch it here ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
110,tailgatingwith unh wildcats and university of richmond spiderfootball fans here in unhwildcats great to be here ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
111,thanks for the great pic hard working people from all walks of life are striving to healinspirerevive our nation ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,we had great crowds all day today in new hampshire thanks to everyone who came out to show your support ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
113,wonderful meeting with many prominent leaders of the asian american and pacific islander community in illinois ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
114,when we talk about the flint water crisis we also have to talk about its root causeseconomic racial and other demdebate,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
115,today senate republicans failed to ban abortions after 20 weeks send them a message no more excuses,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,icymi today i appeared on the real story with gretchencarlson ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
117,rt whitjones the real power behind bernie2016 isn t the little man on the stage it s the thousands of people uniting around him http,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
118,show your support on the road and order an official bumper sticker today click here gt ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
119, we can t just have a blank check we get weaker as the nation goes further into debt fort dodge iowa q amp a,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
120,rt marcfox10 re isis i m a peaceful person but it doesn t make any sense to sit around and let somebody wipe you out realbencars,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
121,new hampshire help us cruztovictory find your polling place now ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
122,thanks to our amazing volunteers for braving the cold to reach voters for johnkasich in new hampshire nhpolitics,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
123,rt guntalk on gt radio today alan gura endorses ted cruz says he ll expend political capital if necessary to protect the second amen,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
124,rt foxnews tedcruz on clinton winning ia by coin flip this is not the 1st political issue the democrats have solved by just throwing,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
125,i ll be on at 10 35pm et to alancolmes radio show tonight for sotu wrap up,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,the people are ready the event kicks off at 11a est watch live at,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
127,10 will make an impact help me reach 50 voters with my new ad,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
128,rt jflacktally jimwebbusa made great impression in iowa tonight an adult serious about the business of protecting this country take,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
129,speaking to the crowd that came out to stand with me this morning in frankfort ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
130, dpdax realdonaldtrump thanks for standing for vets take care of those that give so much ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
131,rt abc huckabee i believe the next president ought to declare a war on cancer heart disease diabetes and alzheimer s ,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
132,i urged voters not to give up liberty for security at my town hall in nashua on wednesday standwithrand in nh,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
133,rt foxnews realbencarson on isis we need to recognize that it is really an existential threat to our nation the war is against all,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
134,its still a long shot but it looks like we have a chance to reach our goal contribute before our deadline ,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
135,america ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
136,i can t defeat the washington machine without you 6 7,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
137,as democrats it is time to stand up for our values amp call for the expansion social security for all beneficiaries ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
138,i ask you to join me in this campaign to build a future that works for all of us and not just the few on top ,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
139,at gopdebate i won over our largest audience yet can you chip in 3 to help us keep it up,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
140, senjohnmccain this is a time of crisis in the world and lindseygrahamsc is the leader we need ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
141,rt entrepreneur kasich hitting key entrepreneur biz points tax cuts lead to job creation gopdebate,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
142,rt dougstafford turns out rand pauls dead candidacy isnt so dead after all rare,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
143,rt paulsavoca randpaul been watching since i got home from school today standwithrand,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
144,heading to phoneix will be arriving soon tomorrow a big day tremendous crowds expected trump2016 makeamericagreatagain,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
145,over 40 admirals amp generals and 12 medal of honor recipients have endorsed me for commander in chief read why,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
146,behind the scenes governor walker hanging out at the reagan ranch prepping for tonight s gopdebate walker16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
147,rt laurenscala4ny billy joel just dedicated tonight s performance of new york state of mind to ted cruz thegarden,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
148,rt votemeadows congressman mark meadows takes the stage in aiken sc to kick off the tedcruz rally scprimary cruzcrew,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
149,rt wlky votersfirst lindseygrahamsc on what he thinks might unite republicans ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
150,rt stacyjacobsontv in the battle of supporters outside nchascoliseum randpaul vs marcorubio,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,rt breitbartxm governorpataki absolutely slams obama s irandeal it s outrageous and a clear threat to the usa and congress must reje,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
152,we can live in a nation where every person no matter their sexual orientation realizes the promise of equality ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
153,rt hillaryfornh thank you to all of the volunteers and supporters at the gorham 4thofjuly parade with hillaryinnh,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
154,president obama has demonstrated a consistent disregard for israel america must stand with our friend and ally ,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
155,rt omalleyforia join martinomalley at the jj dinner this saturday click here for tickets ,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
156,look real hardyou still won t find anyone supporting equal pay paid leave or reproductive rights at gopdebate ,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
157,i fear fear itself the last time the gop was this scared of muslims we invaded iraq hawks must stop squawking ,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
159,that s why we need a physician to bring a different mentality and solve problems ,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,rt kevinbarrycbs2 this week on iowa in focus why randpaul says the haystack is too large regarding data collection and terrorism htt,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
161,007llisav cnn realdonaldtrump cnnpolitics can t wait for his insightful amp intelligent tweets you sound like a very smart person,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
162,we re going to move to public funding of elections so candidates don t have to beg the wealthy and powerful for money when they want to run ,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
163,this morning on morning joe i talked about how trumps proposals would be damaging to our national security ,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
164,my conservative alternative to obamacare focuses on restoring power to patients amp doctors ,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
165,listening to rushlimbaugh on way back to jury duty fantastic show terrific guy ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
166,rt kwteaparty join kwtp tomorrow night with ted s texas iowa strike force director txtylernorris at,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
167,an iran with nuclear weapons poses an unacceptably high risk of murdering millions of americans or our allies ,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
168,rt robkob the time is now for conservatives to unite behind tedcruz join the cruzcrew at,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
169,i have a plan to grow the economy and fight international terrorism growthcode www gilmoreformeramerica com,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
170,the national border patrol council nbpc said that our open border is the biggest physical amp economic threat facing the american people ,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,rt glennbeck ummm excuse me sir i m trying to do a radio show tedcruz crashing my radio show at my house today ,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
172,today is atimefortruth its a time to stand up to the washington power brokers including those in the republican party believeagain,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
173,rt emilyrpeck this is why we should pay attention to bernie sanders on social security,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
174,we have a congress that is dependent on the tiniest fraction of the 1 to fund their campaigns lessig fixdemocracyfirst,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
175,you cant hide your profits in the cayman islands and other tax havens while there are massive unmet needs on every corner of this nation ,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
176,ill be back in the granite state this week working hard to win every vote join us ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
177,rt foxbusiness govmikehuckabee says america needs to end regulations that hurt good financial decisions gopdebate,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
178,rt johnpodesta just chilling in cedar rapids great lunch with hillaryforia volunteers amp staff ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
179,policy i think marco rubio and hillary clinton are very similar they believe in regime change standwit ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
180,rt kailanikm this is the scene for johnkasich at villanova in pa the day after he won the ohio primary big overflow too ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
181,proper approach is a potus that defends this country amp goes after terrorists rather than showing weakness gopdebate,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
182, mikeraygil thanks for signing ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
183,enlighten2881 ukcatwoman52 ericnlin ac360 how come rubio amp cruz are going to turn america around but did nothing in the senate for usa,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
184,rt seiu marykayhenry getting seiu iowa members fired up before hitting the doors for hillaryclinton imwithher,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
185,rt billclinton happymothersday to hillaryclinton amp chelseaclinton and to all moms everywhere ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
186,what is hillary s greatest accomplishment here s a list from 20 top american leaders and strategists,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
187, defundplannedparenthood ,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
188,new cbs poll trump2016,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
189,rt nvgop adamlaxalt is touring nevada tomorrow for tedcruz ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
190,were proud and honored to have international brotherhood of electrical workers local union 357 s support in nevada,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
191,sanders said only black lives matter wow hillary did not answer question ,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
