,X,id,text,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder2.coder,src
11,1038,7.13E+17,RT @leedanielsent: #ImWithHer because @HillaryClinton knows we're #StillFighting for full LGBT equality. https://t.co/ThBQy2h9Qg,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
12,1078,7.11E+17,RT @TomNocera: The Reagan Trump images are inspiring. The #silentmajority sense something better for America is coming in #Trump2016 http:/,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
13,1141,6.44E+17,"Humbled &amp; honored by the overflow crowds @ the Pizza Ranch in Ottumwa, #Iowa this morning! #ImWithHuck http://t.co/CAYkSFO5nz",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
14,1239,6.64E+17,RT @IE4Bernie: One hour until stay and this house is getting packed! #bernie2016 #bernieinla #FeelTheBern http://t.co/eiqvZrSdZl,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
15,1250,6.96E+17,This account will be run by campaign staff from now onbut youll still see tweets from Hillary. Theyll be signed -H.,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
16,1270,6.56E+17,Looking forward to joining @jaketapper and @TheLeadCNN today at 4:30pm ET. Tune to hear about our plan to help hardworking families!,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,lauryn,brittanylauryn
17,1349,7.00E+17,Photo Gallery: The First 100 Days of the Bernie Sanders Presidential Campaign https://t.co/GmUpCr4HUd,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
18,1382,6.40E+17,RT @KevinBingle: BREAKING: The @BostonGlobe @GlobeOpinion endorses Gov. @JohnKasich for President! #Kasich4Us https://t.co/17F5ad9blX,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
19,1406,7.08E+17,At the Citadel for my speech on foreign policy and the threat presented by radical Islamic terrorism. - SW http://t.co/diYU87JMhf,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
20,1409,6.85E+17,There are some things in Washington we need to burn down. Read more here ---&gt; http://t.co/tuj6JCDuEM,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,lauryn,brittanylauryn
21,1428,6.54E+17,RT @jaketapper: On #TheLead: House GOP chaos; law enforcement warns of terrorism; @GovChristie interview; Trump in Vegas; Clinton feeling t,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
22,1481,6.23E+17,"RT @FoxNews: .@RandPaul: ""We think we're going to do very well in Iowa with the liberty vote."" #GOPDebate https://t.co/gdsNV17n9U",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
23,1516,6.42E+17,"Little Marco Rubio treated America's ICE officers ""like absolute trash"" in order to pass Obama's amnesty. https://t.co/gm2wurLjFz",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
24,1556,6.46E+17,RT @MVBarnhill: Two local High School Seniors ready to start working for @MartinOMalley #NewLeadership #MOMentum http://t.co/LRE4POZVIx,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
25,1631,7.47E+17,RT @OutFrontCNN: .@GovernorPataki to fellow GOP candidates: 'Stand up to Trump' @CNN's @joejohnscnn has more: http://t.co/OeNACklVJq http:/,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
26,1635,6.45E+17,#VotersFirst has begun! Tune into the @UnionLeader forum on @cspan http://t.co/57IMF5R4Aw,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,lauryn,brittanylauryn
27,1639,5.92E+17,"RT @HillaryforSC: We need to raise wages for the lowest paid jobs in Americawhich are disproportionately held by women, especially women",0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
28,1692,5.92E+17,How does it happen that every major country on earth guarantees health care to all of their people as a right except the United States?,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,lauryn,brittanylauryn
29,1735,6.66E+17,Donald Trump no es el nico que tiene ideas retrogradas acerca de la inmigracin. https://t.co/1nqc0gn8rh,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
30,1818,6.52E+17,"#VoteTrump video: https://t.co/NauXRQ2Q91
#AZPrimary #ArizonaPrimary #UtahCaucus #UTCaucus #AmericanSamoa https://t.co/bKruyYHFma",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
31,1951,6.25E+17,Looking forward to joining @foxandfriends in a few minutes! Tune in http://t.co/UvJ2kyJZJ7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,lauryn,brittanylauryn
32,1972,7.20E+17,"Education is the bedrock of Americas success. It is the
foundation of what truly makes our country the Land of
Opportunity. #ReviveEdu",0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,brittany,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
33,2029,6.37E+17,Ill be talking with @seanhannity on @FoxNews tonight at 10 PM ET. Hope youll tune in.,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
34,2050,6.26E+17,"If youre proud to stand with Hillary all the way to the White House, chip in $1 to help her get there: https://t.co/GoyF7nhTCs",1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,lauryn,brittanylauryn
35,2057,6.45E+17,51% of the kids in our public schools are eligible for free or reduced cost lunches. We need to raise wages to lift families out of poverty.,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
36,2087,6.88E+17,RT @TIME: How Chris Christie's years as a prosecutor prepared him to run for President  https://t.co/v1Ib2mXirj https://t.co/fI4KVe8zLr,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
37,2160,6.41E+17,RT @larry_kudlow: No 10-year boots on the ground to defeat ISIS. Destroy ISIS training camps. They're coming for us. @GovernorPataki @77WAB,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
38,2198,6.44E+17,RT @cedarville: .@RealBenCarson will hold rally here on campus next Tues 9/22. Ticket info at http://t.co/2SOiOGcw1h http://t.co/sbNwRFNmY4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
39,2206,6.45E+17,"I delivered on my promises in WI and on #DayOne, Im ready to deliver on my promises to America. My promises --&gt; http://t.co/n4zCEfc6M5 -SW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
40,2274,6.76E+17,Carly Fiorina is terrible at business--the last thing our country needs! http://t.co/n7lO0llhK8,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
41,2379,7.01E+17,"Race for Speaker is not about Paul Ryan or Kevin McCarthy, the American people are fed-up &amp; it's time for Washington to wake-up.",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,lauryn,brittanylauryn
42,2385,6.46E+17,"RT @rbecker51:   "" ""         ""  "" .    https://",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
43,2420,7.04E+17,"I was the only one to stand up to Trumps chaotic, irresponsible foreign policy at the debate. See top moments here: https://t.co/Yk7imWdwxV",-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,lauryn,brittanylauryn
44,2452,5.99E+17,Then why did you contribute thousands of dollars to her? https://t.co/wd6UCZSEd2,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
45,2505,6.47E+17,He put up a good fight but my winning streak is intact #FITN http://t.co/s7iVpReFIW,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
46,2575,6.20E+17,"Great recap video from the Milford Labor Day Parade, Salem GOP Picnic &amp; BBQ with @SenScottBrown #Kasich4Us
https://t.co/66gV4l2L5t",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
47,2582,6.29E+17,After my speech tomorrow I'll be using Periscope to live stream a bit of my Facebook q&amp;a. Leave your question https://t.co/8I7BSS10ok,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
48,2676,6.46E+17,Sad to hear the news about President Carter. Will be praying for him and his family.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
49,2795,6.66E+17,"US State Dept has sent N Korea a TWEET appealing to its sense of international obligation. It may work, if Kim Jong-Un dies of laughter.",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,lauryn,brittanylauryn
50,2798,7.06E+17,We're gonna make a political revolution and we're gonna transform America. #IACaucus https://t.co/GzbOrGa3Ow,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
51,2866,6.28E+17,"If I am elected president, we will NOT be drafting our daughters into combat #GOPTownHall https://t.co/m8sc5RhzdN",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
52,2922,6.31E+17,RT @billmckibben: This guy @BernieSanders appears to have supporters in western Ma. Fun to be #feelingthebern in Springfield http://t.co/W2,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
53,2982,6.67E+17,"We shouldnt reward those who came to this country illegally:
https://t.co/C5c7x4ST2d",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
54,2992,6.25E+17,RT @RitaCosby: Can't wait to have @GovernorPataki on my @77WABCradio show tomorrow AM now that he's officially running for President! @Gpat,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
55,3025,6.52E+17,"For those with a question as to ""secret service"" protection, neither my team nor I are in the habit of commenting on security.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
56,3031,7.13E+17,"Change is coming. In January of 2017, we will have a new president. #IAFaithForum",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
57,3068,7.01E+17,Great video on the debate tonight from supporter @BritWilson63 ! Send yours in to us using #standwithrand https://t.co/bvrOJY880a,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,lauryn,brittanylauryn
58,3071,7.12E+17,"RT @t_willy2: First time voting tomorrow, I'll be voting for the future #POTUS @marcorubio #Marcomentum",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
59,3125,6.93E+17,"""@realOllieTaylor: @paintonmy: IA caucus hasn't picked nominee in 16 years! Cruz dirty tricks stole it. Trump way ahead in primary states.",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
60,3236,6.64E+17,Ill be on @FoxNews tonight with @megynkelly for #KellyFile at 9pm. Tune in!,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,lauryn,brittanylauryn
61,3283,6.05E+17,"RT @healerhauler: #Students4Carson at our University of Alabama Debate Watch Party are all in for Ben! #RollTideRoll
https://t.co/mlwETG6eEJ",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
62,3310,6.93E+17,RT @FaceTheNation: @RandPaul says Hillary Clinton is partially responsible for refugee crisis http://t.co/vqorCYyz56,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
63,3327,6.02E+17,RT @omalleyfornh: Pete Spanos just emailed saying why hes standing with @MartinOMalley sign up at http://t.co/oAFRQZMrZ6 #nhpolitics http:,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,lauryn,brittanylauryn
64,3356,6.97E+17,"RT @TeamMarco: SC, how's voter turnout looking in your neighborhood? Tweet your county, precinct name, # of voters &amp; time of day using #tur",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,lauryn,brittanylauryn
65,3410,6.69E+17,RT @fox5ny: .@GovernorPataki breaks ranks w/ @GOP says Ky. clerk Kim Davis should've lost her job. http://t.co/NtbkOsCXjm @AP http://t.co/v,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
66,3526,6.98E+17,Thank you to former Navy Seal @LeifBabin for your service and support! https://t.co/AlVMIjPz36 #Carly2016,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
67,3550,7.24E+17,Politicians shouldn't promise what they can't deliver. #DemDebate #Chafee2016.com #ProsperitythroughPeace,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
68,3588,7.09E+17,"RT @WPJohnWagner: The Bernie Sanders crowd in Boston, 40 minutes before the event starts. http://t.co/lyeURQBx4l",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
69,3635,7.23E+17,I am running for president because it is too late for establishment politics and too late for establishment economics. We need real change.,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,lauryn,brittanylauryn
70,3725,6.57E+17,".@realdonaldtrump, not about ""getting along"" with Vladimir Putin. It's about effective foreign policy: http://t.co/v3ELVE0Eor #CNNDebate",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
71,3780,6.96E+17,".@BernieSanders I won't cut Social Security. As always, I'll defend it, &amp; I'll expand it. Enough false innuendos. https://t.co/hBeTCQj6Fv -H",0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
72,3788,7.04E+17,Winning Ohio changes the whole shape of the race. Learn how to help here: https://t.co/9KYo3NxYRp https://t.co/UVZUoOs5yn,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
73,3805,6.24E+17,RT @SEIU: SEIU members want justice for immigrant families who've spent too long living in fear in the shadows #iAmericaAction https://t.co,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
74,3925,7.04E+17,"Tell Congress to defund the Obama Administration's plan to bring 10,000 Syrian refugees into America. Click here: https://t.co/GVfCtJnbO2",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,brittany,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,lauryn,brittanylauryn
75,3943,6.82E+17,Here we go at the #GOPDebate! Join us online: https://t.co/nICXayUu6E,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,lauryn,brittanylauryn
76,3999,6.20E+17,"Thanks to the @dpshow for having the governor on this morning!

Learn more about John Kasich here: https://t.co/dy8KnZ122T",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,lauryn,brittanylauryn
77,4001,6.26E+17,"RT @JamesPMorrison: You need to look the guy in the eye and say, Listen, I dont agree with you, I dont appreciate what you said."" -Sen",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
78,4048,7.20E+17,"Thank you Dayton, Ohio! 20,000 supporters- largest in airport history! #MakeAmericaGreatAgain #Trump2016 https://t.co/ry2p5qGcFt",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
