,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
11,"""Most working-class families cant locate the high-quality and affordable child care they need for their kids"" http://t.co/M9V6jxwS2G",638787343831404544,9/1/2015 18:55:45,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
12,"""No other Sec of State has requested that all their work-related emails be made available to the public"" http://t.co/DyeTh97OEN",642098499446640640,9/10/2015 22:13:06,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
13,"""We need MAJOR reform in a broken criminal justice system, from TOP to BOTTOM."" @BernieSanders. More at https://t.co/HHFJjq5kTx #DemDebate",665734080122744832,11/15/2015 3:32:28,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
14,@psalm2607 @biloxichoctaw @OneSunflowerGrl @tedcruz Let's talk about the truth instead. https://t.co/yyHjBlA9b8,694751692156350464,2/3/2016 5:18:05,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
15,"#News Thinking About Brexit, Fast and Slow - The joys of not arguing derp. https://t.co/OxAOF5L9MP",773351706289725440,9/7/2016 2:46:29,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
16,"#Trump's response to allegations against him is to attack the woman:
""Look at her, look at her words, you tell me w https://t.co/XzCwkljMwb",786621123353907200,10/13/2016 17:34:25,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
17,America needs a commander-in-chief who knows how to keep us safe. Watch Marco Rubio's newest video. https://t.co/ZJqjvQhBtO #TeamMarco,684787530978308096,1/6/2016 17:24:04,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,emily,brittanyemily
18,"Ben Carson: Even if Trump's a bad president, it'll only be 4 years https://t.co/0BWadFHSZu - He's a modern day Judas Iscariot. #PrimaryDay",709822282781208576,3/15/2016 19:23:14,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
19,CNN on @LindseyGrahamSC at the #GOP Undercard https://t.co/EsPIRJnpAd,666740814937092096,11/17/2015 22:12:52,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
20,Don't miss #TedCruz on @meetthepress this Sunday! #2016election,655188357991956480,10/17/2015 1:07:32,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
21,"Even Mitt Romney &amp; Marco Rubio are worried about a @realDonaldTrump presidency.
https://t.co/5IwKbdhJLa",760977381829980160,8/3/2016 23:15:20,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
22,"Glenn Reynolds is #Britain's forgotten voters, and ours! https://t.co/Iq0vitDjj1 #Brexit #GlennReynolds https://t.co/P1mFh31Ci2",747216761091657728,6/26/2016 23:55:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
23,Gov. Huckabee announces his Iowa campaign stops for Wednesday... https://t.co/yg0sLrwaD6,692021327117492224,1/26/2016 16:28:36,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
24,Harassing @HillaryClinton: How @HouseBenghazi and the @GOP are wasting taxpayer money: http://t.co/dWP51JIkAI,655010447964401664,10/16/2015 13:20:34,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
25,"Hey everyone, absentee senator @marcorubio showed up for something! He was really there! https://t.co/2Mc4pv1h8c",694621228015960064,2/2/2016 20:39:40,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
26,"http://t.co/EX5Ch39d44
http://t.co/hxRhPWer4k
#TedCruz2016 
#MilitaryAppreciationMonth 
CourageousConservatives http://t.co/Rx0GmtVDmW",596682538279534592,5/8/2015 14:26:17,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
27,https://t.co/FNIDxuDgEd,679677871065968640,12/23/2015 15:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emily,brittanyemily
28,ICYMI last night: Debate Statement and Press Reactions to Governor Perry #GOPDebate http://t.co/s8aLEuoDxF,629775525599420416,8/7/2015 22:06:00,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
29,"In case you missed it, Horowitz on why Trump will win. #Trump2016 https://t.co/lVHKFRy99h https://t.co/hkKzG7b4az https://t.co/QxrUVrEfhL",760185862898511872,8/1/2016 18:50:07,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
30,"Kasich made the debate! Don't miss him this Thursday, August 6th at 9pm  http://t.co/nHQ9qvSnc2 #Kasich4Us #GOPDebate http://t.co/lCbIrYSpJw",628701813693263872,8/4/2015 22:59:27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
31,"Nothings more important to me than my family, my faith, and my friends. @JohnKasich #Kasich4Us http://t.co/efLS7KR030",629756561200693248,8/7/2015 20:50:39,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
32,"On the @GOP candidates: It sounds like a bunch of kindergartners messing around on the playground.
https://t.co/Fxy1imJ6B0",704398469772021760,2/29/2016 20:10:56,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
33,"Peace will be restored. By enforcing the rules for the millions who overstay their visas, our laws will finally receive the",756325003155636224,7/22/2016 3:08:27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
34,Reagan said he'd rather get 80% of what he wants than go over a cliff. cc @GOP https://t.co/s5b05q1EZw #cnndebate,644325676124897280,9/17/2015 1:43:06,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
35,RELEASED TODAY: The True Story of the House Select Committee on Benghazi https://t.co/GC8AmMkaUL,747493582219657216,6/27/2016 18:15:32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
36,RT @AFSpace: Yet another reason missile warning is an important part of our mission. https://t.co/6CMnRn0LcQ,597798664245891072,5/11/2015 16:21:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
37,RT @AlexConant: #marcomentum is building https://t.co/Gd7iTLWLLQ,696478016956866560,2/7/2016 23:37:53,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
38,RT @BernieSanders: Bernie worked with Sen. McCain and House Republicans to pass landmark legislation to ensure all our veterans get the car,665739900403208192,11/15/2015 3:55:35,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
39,RT @BernieSanders: Were in the voting period for the Oregon Democratic Primary. Have you turned in your ballot? Have any questions? https:,729837343373447168,5/10/2016 0:55:57,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
40,RT @BreitbartTexas: Four Texas Congressmen and Six Others Under Ethics Investigation http://t.co/PWmRTWf9bc via @BreitbartTexas,598854031973322752,5/14/2015 14:15:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
41,RT @catblackfrazier: Grateful to have @GovernorPerry @SteveKingIA &amp;veteran Jack Zimmerman stumping for @tedcruz!#iacaucus #CruzinToCaucus h,692453534768459776,1/27/2016 21:06:02,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
42,RT @Conserv_Report: #MolonLabe! Ted Cruz on Liberty http://t.co/9lpNd9dvmw  #1A#2A #RNC#WithIsrael#StopIRAN#DNC #sot #fox #yankees #tco,593505945977622528,4/29/2015 20:03:38,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
43,RT @donnabrazile: Revelation: Trump University told students how to 'cash in' on housing crash https://t.co/V9DVVjQuOi via @Reuters,738123659848650752,6/1/2016 21:42:48,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
44,"RT @foxandfriends: ""I want to support what made this nation great and what made us unique."" -@RealBenCarson
https://t.co/rKPPWg01Ri",646644067795800064,9/23/2015 11:15:34,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
45,"RT @FoxNews: .@CarlyFiorina: ""It is time to take our country back from the political class, from the media, from the liberal elites."" #GOPD",676944739845971968,12/16/2015 1:59:37,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
46,"RT @GOP_PR51:  REPUBLICANOS 

Esta noche a las 7:00pm estaremos en el Comit PNP Municipal de Peuelas con charlas de Estadidad y GOP.",590614957563187200,4/21/2015 20:35:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emily,brittanyemily
47,"RT @JeffJoh29171635: @tedcruz45 A percentage of Democrats, are easing away from Obama, But Obama is totally out of control &amp; Lawfully, Poli",598546915001696256,5/13/2015 17:54:39,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
48,"RT @jmurphpix: Ben Carson speaks to a group of 20 people that couldn't make it into his West Des Moines,  https://t.co/P3aauV8SEH https://",693656885975609344,1/31/2016 4:47:43,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
49,RT @joneski: Following the bus down I-4 in Central FL looks like it's full of migrant workers heading to Mira Lago https://t.co/9RnCIvTdZi,775460694158442496,9/12/2016 22:26:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
50,RT @JustinBarasky: The ads are part of a $3 million buy running in Florida &amp; Nevada. https://t.co/etsIAiOQ2U,783331815201341440,10/4/2016 15:43:53,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
51,RT @MsIntervention: The Pentagon has told us all about #ISIS setbacks but not their gains. http://t.co/TA3oPlD5i7 http://t.co/VA0eW1F7KZ,590863913056534528,4/22/2015 13:05:09,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
52,RT @nobarriers2016: Combat veteran Carlos Del Toro trusts Hillary Clinton to take care of our vets and their families after they come home.,787626160398045184,10/16/2016 12:08:04,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
53,RT @noprezzie2012: CNN Anchor Brooke Baldwin Blames Military Veterans for Baltimore Riots - Breitbart http://t.co/mdFvi5GvIU via @Breitbart,593398526656184320,4/29/2015 12:56:48,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
54,"RT @POLITICOvideo: .@LindseyGrahamSC: ""There must be American boots on the ground in Syria to win."" https://t.co/GkC45oDsM5",676917918920278016,12/16/2015 0:13:03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
55,"RT @Raygun008: #Jesus ""He was just another freemason BRAlNDEAD fool @JerzyLuv2A 
the #usa arnerica lost, are so gullible @ChristieC733 @ted",597766236072587264,5/11/2015 14:12:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
56,RT @RealBenCarson: My plan for a simple &amp; fair flat tax will not only eliminate the burden the IRS places on taxpayers but will grow the ec,684454525927702528,1/5/2016 19:20:50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
57,RT @reidepstein: And now in Greensboro we have Trump supporters punching protestors.,787005007962996736,10/14/2016 18:59:50,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
58,RT @RKeough742: I think @CarlyFiorina has the best ideas when it comes to metadata collection. Private sector and government need to work t,676956265587859456,12/16/2015 2:45:25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
59,RT @SenatorBoxer: We always knew the Benghazi committee was about turning a tragedy into a political attack on HRC. Now the next Speaker is,649255954215759872,9/30/2015 16:14:16,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
60,"RT @SenTedCruz: Without this amendment, Corker-Cardin will likely do more harm than good-simply providing political cover for a bad Iran de",593465683566055424,4/29/2015 17:23:39,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,emily,brittanyemily
61,RT @Soniamf13: Voy a estar en paz con el Universo yo aqui los dos @marcorubio @MarcoRubioPR y @tedcruz45 estan toditos atentos a @JebBushPT,593590168403116032,4/30/2015 1:38:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emily,brittanyemily
62,RT @teddyschleifer: Here's @KeepPromise1 mailer in Nevada: https://t.co/GPU9FQrH4Z,699414998519513088,2/16/2016 2:08:24,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
63,RT @TheAdvocateMag: #HillaryClinton lays out her #LGBT agenda at .@SCEquality gala #Hillary2016 #Hillary #trans https://t.co/vBQaIKqTjQ htt,663755677584760832,11/9/2015 16:31:00,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
64,RT @TheBriefing2016: Yeah...no. #DemDebate https://t.co/Mi8vIl4UKK https://t.co/R8YqmOVunN,695432921138659328,2/5/2016 2:25:03,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
65,"Ted Cruz on the Tea Party, George W. Bush, and the Worst Part of Running for President http://t.co/C7IwISKJ2I via @timalberta",641717274412453888,9/9/2015 20:58:15,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
66,The choice in this election is pretty clear. https://t.co/XSucJO5bYd,773594763928801280,9/7/2016 18:52:19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
67,The more you DON'T know: The GOP's 2016 field. https://t.co/aBAgLcm36M,689575395843145728,1/19/2016 22:29:20,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
68,"The Third #GOPDebate 
Real Issues.
Real Solutions.
https://t.co/vluZxZqsJU",659587373194432512,10/29/2015 4:27:38,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
69,TODAY: @HillaryClinton announces endorsement of more than 40 Texas office holders https://t.co/lCZ8UN12Ht,697812045580910592,2/11/2016 15:58:51,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
70,Watch @CarlyFiorina file for the New Hampshire primary https://t.co/oeHipfi8U1 #Carly2016 #fitn #nhpolitics,665216307000815616,11/13/2015 17:15:01,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,emily,brittanyemily
71,"Watch this weeks #FridayHotTakes and see @marcorubios epic collapse in NH!
https://t.co/hzCSTqa82w",698214841220136960,2/12/2016 18:39:25,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
72,We are excited to launch our first ad today in support of presidential candidate Ted Cruz: https://t.co/ReFVICjWda #election2016 #2016,628534854276247552,8/4/2015 11:56:01,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
73,We will make America Great Again!  #RNCinCLE #gopconvention #TrumpIsWithYou,756286258800885760,7/22/2016 0:34:29,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
74,"While @realDonaldTrump's teleprompter expressed ""regret"" last night, here are things #Trump hasn't apologized for: https://t.co/B1glE12ejl",766620715407839232,8/19/2016 12:59:56,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
